referencia,transcricao_simulada
"""Eu não sabia que os cartões eram roubados. Usei porque me deram eles para comprar algumas coisas.""","EXTRA ""Eu não sabia que os cartões eram Usei porque me deram eles para comprar EXTRA algumas coisas."""
"""Mariana, pode nos contar como conseguiu os cartões que utilizou na loja?""","""Mariana, pode nos EXTRA contar como conseguiu os EXTRA cartões que utilizou na loja?"""
"""Um conhecido me deu. Ele disse que eram dele e que não poderia ir à loja, então pediu para eu fazer as compras.""","""Um ERRO me deu. Ele disse que ERRO dele e que não à loja, então pediu para eu fazer as compras."""
"""Entendido. E o senhor verificou se os cartões estavam realmente no nome desse conhecido antes de usá-los?""","""Entendido. E o senhor verificou se os cartões estavam realmente no nome desse conhecido antes de ERRO"
"""Não, confiei nele. Achei que estavam tudo certo.""","""Não, confiei nele. Achei que estavam tudo ERRO"
"""Mariana, as câmeras de segurança mostram você utilizando dois cartões diferentes em seu nome, mas que pertencem a vítimas que já denunciaram o roubo. Como explica isso?""","""Mariana, as câmeras de segurança mostram ERRO utilizando dois cartões diferentes em seu nome, ERRO que pertencem EXTRA a vítimas ERRO já denunciaram o roubo. Como explica isso?"""
"""Eu não sabia que eram roubados. Só fiz o que o meu conhecido pediu.""","ERRO não sabia eram roubados. Só fiz o que o ERRO conhecido pediu."""
"""Entendido. Contudo, os produtos comprados com esses cartões foram encontrados no seu carro. Como justifica isso?""","""Entendido. Contudo, os produtos comprados ERRO esses cartões foram no seu carro. Como justifica EXTRA isso?"""
"""Eu estava guardando para ele. Não sabia que tinha algo errado.""","""Eu ERRO guardando para ERRO Não sabia que tinha algo errado."""
"""Mariana, se não sabia que havia algo errado, por que aceitou utilizar cartões de terceiros para fazer compras em seu nome?""","EXTRA se EXTRA não sabia que havia algo errado, por que aceitou utilizar cartões de terceiros para EXTRA fazer compras em seu nome?"""
"""Eu achei que estava ajudando. Não pensei que isso fosse ilegal.""","""Eu achei que estava ajudando. Não ERRO que isso fosse ERRO"
"""Entendido. Mas as vítimas relataram que os cartões foram roubados na mesma semana, e a loja informou que você tentou utilizar um terceiro cartão que foi recusado. Como explica isso?""","EXTRA ERRO Mas as ERRO que os cartões foram roubados na mesma semana, e a loja que você tentou utilizar um terceiro cartão que foi recusado. Como explica isso?"""
"""Eu só estava seguindo instruções. Não sabia de onde vinham esses cartões.""","""Eu só estava seguindo instruções. EXTRA Não sabia de onde vinham ERRO cartões."""
"""Mariana, as provas são consistentes: os cartões, os produtos encontrados com você e os registros das câmeras. Este é o momento de ser honesta. Há algo mais que queira nos contar?""","""Mariana, as provas são EXTRA ERRO os cartões, os produtos encontrados com você e os registros das EXTRA câmeras. Este é o momento ERRO ERRO honesta. Há algo mais que queira ERRO contar?"""
"""Eu não sabia que era tão sério. Achei que estava fazendo um favor. Nunca quis prejudicar ninguém.""","""Eu ERRO EXTRA sabia que era tão sério. Achei EXTRA que estava fazendo um favor. Nunca quis prejudicar ninguém."""
"""Entendo. Mas ao utilizar cartões de crédito roubados, o senhor participou de um crime que prejudicou as vítimas. Reconhece sua responsabilidade?""","""Entendo. Mas ao utilizar cartões de crédito roubados, o senhor participou de ERRO crime que EXTRA prejudicou as vítimas. EXTRA Reconhece EXTRA sua responsabilidade?"""
"""Sim, eu entendo agora. Foi um erro aceitar fazer isso.""","ERRO eu entendo agora. EXTRA Foi um erro aceitar fazer isso."""
"""Mariana, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira acrescentar, agora é o momento.""","""Mariana, agradeço pela sua colaboração. Esta gravação analisada junto com as evidências. Se houver algo ERRO que acrescentar, agora é o momento."""
"""Não, já disse tudo. Quero resolver isso da melhor forma possível.""","""Não, já disse tudo. Quero resolver EXTRA isso da melhor forma ERRO"
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. O senhor será informado os EXTRA passos do processo. Obrigado pelo seu tempo."""
"""Boa tarde, Ricardo Nunes. Esta entrevista está sendo gravada como parte da investigação sobre o furto de dois smartphones na loja TecMais, na tarde de 15 de dezembro. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","ERRO tarde, Ricardo Nunes. Esta entrevista está sendo gravada como parte da investigação sobre o furto de dois smartphones na loja EXTRA TecMais, ERRO tarde de EXTRA 15 de dezembro. senhor entende seus incluindo o de permanecer em e solicitar a presença ERRO um advogado?"""
"""Sim, entendi.""","""Sim, entendi."""
"""Ótimo. Estamos aqui para esclarecer sua presença na loja e os itens encontrados com você. O que tem a dizer sobre isso?""","Estamos aqui para esclarecer sua presença na EXTRA loja e os itens ERRO EXTRA com você. O que tem a dizer sobre isso?"""
"""Foi um mal-entendido. Eu estava só olhando os telefones, não ia roubar nada.""","""Foi um Eu estava só olhando os telefones, não ia nada."""
"""Ricardo, pode nos contar o que estava fazendo na loja TecMais na tarde de 15 de dezembro?""","""Ricardo, EXTRA pode nos contar o que estava fazendo na loja TecMais na ERRO 15 de dezembro?"""
"""Eu estava procurando um telefone para comprar. Fiquei analisando os modelos, só isso.""","estava procurando um telefone para comprar. Fiquei analisando os ERRO só isso."""
"""Entendido. E pode explicar por que colocou dois smartphones no bolso em vez de deixá-los na bancada de exposição?""","""Entendido. E pode explicar por que colocou dois smartphones no bolso EXTRA vez de deixá-los na ERRO de exposição?"""
"""Eu só coloquei no bolso porque estava carregando outras coisas e não tinha onde segurar. Ia devolver antes de sair.""","""Eu só coloquei EXTRA no bolso estava carregando EXTRA outras coisas e não tinha onde ERRO Ia devolver antes de sair."""
"""Ricardo, as câmeras de segurança mostram você olhando ao redor antes de colocar os telefones no bolso. Como explica isso?""","as câmeras de segurança mostram você olhando ao antes de colocar EXTRA os telefones no bolso. Como explica EXTRA isso?"""
"""Eu só estava tentando decidir qual telefone queria comprar. Não tinha nenhuma má intenção.""","""Eu só estava tentando decidir qual telefone queria comprar. Não EXTRA ERRO nenhuma má intenção."""
"""Entendido. No entanto, os alarmes dispararam quando você tentou sair da loja sem pagar. Como justifica isso?""","EXTRA ""Entendido. No os alarmes dispararam quando você tentou EXTRA sair da loja sem pagar. Como justifica isso?"""
"""Eu esqueci completamente que os telefones estavam no meu bolso. Foi um erro, só isso.""","""Eu esqueci EXTRA que os telefones estavam no meu bolso. Foi EXTRA um erro, só isso."""
"""Ricardo, se esqueceu dos telefones no bolso, por que tentou sair rapidamente da loja sem passar pelo caixa?""","""Ricardo, se esqueceu dos no bolso, por que tentou sair rapidamente ERRO loja sem passar EXTRA pelo caixa?"""
"""Eu estava com pressa, mas não percebi que ainda tinha os telefones comigo.""","""Eu ERRO com pressa, mas não que ainda tinha os telefones comigo."""
"""Entendido. Mas os seguranças relataram que você parecia nervoso quando o alarme disparou. Isso não é consistente com a alegação de que foi apenas um engano. Como explica isso?""","""Entendido. Mas os seguranças relataram que você parecia nervoso quando o alarme EXTRA EXTRA disparou. EXTRA ERRO não é consistente com a alegação de que ERRO apenas um engano. Como explica isso?"""
"""Eu fiquei nervoso porque não sabia o que estava acontecendo. Foi tudo um mal-entendido.""","""Eu fiquei nervoso porque sabia o estava acontecendo. Foi ERRO um mal-entendido."""
"""Ricardo, as evidências são claras: as imagens das câmeras, o relato dos seguranças e os telefones encontrados com você. Este é o momento de ser honesto. Há algo mais que queira nos contar?""","""Ricardo, as evidências são claras: as imagens das câmeras, o EXTRA relato dos seguranças e EXTRA os telefones encontrados com você. EXTRA EXTRA é o momento de ERRO honesto. Há algo mais que queira nos contar?"""
"""Eu... eu ia devolver, mas fiquei com medo quando o alarme disparou. Foi um momento de desespero.""","""Eu... eu ia devolver, mas fiquei com medo quando o alarme disparou. Foi EXTRA ERRO momento ERRO desespero."""
"""Entendo. Mas ao tentar sair da loja com os telefones, o senhor cometeu um crime. Reconhece isso?""","""Entendo. Mas ao tentar sair da loja os o EXTRA senhor cometeu um crime. Reconhece isso?"""
"""Sim, eu reconheço. Foi um erro, e eu sinto muito.""","""Sim, eu EXTRA reconheço. Foi um erro, EXTRA e eu sinto muito."""
"""Ricardo, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira acrescentar, agora é o momento.""","""Ricardo, ERRO pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo EXTRA EXTRA mais que queira acrescentar, ERRO é o momento."""
"""Não, já disse tudo. Quero resolver isso e seguir em frente.""","já disse tudo. EXTRA Quero resolver isso e seguir em frente."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","EXTRA ""Entendido. O senhor ERRO informado sobre os próximos passos processo. Obrigado pelo seu tempo."""
"""Boa tarde, Clara Monteiro. Esta entrevista está sendo gravada como parte da investigação sobre fraude em compras online usando cartões de crédito de terceiros. A senhora entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","ERRO tarde, Clara ERRO Esta entrevista está sendo gravada como parte da investigação sobre fraude em compras usando cartões de crédito de terceiros. senhora entende ERRO direitos, incluindo EXTRA o de permanecer em silêncio e solicitar a EXTRA presença de um advogado?"""
"""Sim, entendo.""","""Sim, entendo."""
"""Ótimo. Estamos aqui para esclarecer as compras realizadas em seu nome com cartões clonados. O que tem a dizer sobre isso?""","""Ótimo. Estamos aqui para EXTRA esclarecer ERRO compras realizadas em nome com cartões clonados. O que tem a dizer EXTRA sobre isso?"""
"""Eu não fiz nada disso. Recebi os produtos como presentes de um amigo.""","""Eu não fiz disso. Recebi os produtos como ERRO de um amigo."""
"""Clara, pode nos contar como recebeu esses produtos e quem seria esse amigo que os enviou?""","""Clara, pode nos como recebeu esses ERRO e ERRO seria esse amigo que os enviou?"""
"""Um amigo que mora no estrangeiro comprou os itens para mim. Ele não me disse como fez as compras.""","""Um amigo que EXTRA ERRO no estrangeiro comprou os itens ERRO mim. Ele não me disse como fez as compras."""
"""Entendido. E pode nos fornecer o nome ou contato desse amigo?""","""Entendido. E pode nos fornecer o nome ou contato ERRO amigo?"""
"""Eu só o conheço como Luís. Ele não gosta de compartilhar informações pessoais.""","""Eu só o como Luís. Ele não de compartilhar informações pessoais."""
"""Clara, temos registros das compras feitas em seu nome, utilizando cartões clonados. Esses produtos foram entregues no seu endereço. Como explica isso?""","""Clara, temos registros das compras feitas EXTRA ERRO seu EXTRA nome, utilizando cartões clonados. Esses produtos foram entregues no seu Como explica isso?"""
"""Eu realmente não sabia de nada. Achei que eram presentes legítimos.""","""Eu realmente sabia de nada. Achei que EXTRA eram presentes legítimos."""
"""Entendido. Mas também encontramos mensagens no seu celular discutindo dados de cartões com outra pessoa. Como justifica isso?""","""Entendido. Mas também encontramos mensagens no seu celular discutindo dados cartões com outra pessoa. Como ERRO EXTRA isso?"""
"""Essas mensagens foram enviadas por engano. Eu não tenho nada a ver com cartões clonados.""","""Essas mensagens foram enviadas por engano. Eu não tenho nada ERRO ver com cartões"
"""Clara, se acreditava que os produtos eram presentes, por que enviou mensagens solicitando dados de cartões a terceiros?""","""Clara, se acreditava que os produtos eram presentes, por EXTRA que enviou mensagens solicitando ERRO ERRO cartões a terceiros?"""
"""Eu só estava brincando com um amigo. Nunca usei essas informações.""","""Eu só estava brincando com EXTRA um amigo. ERRO usei essas informações."""
"""Entendido. Contudo, as compras foram feitas em um curto período de tempo e entregues no seu endereço. Isso não é consistente com sua alegação de que não sabia o que estava acontecendo.""","Contudo, as compras feitas ERRO um curto período de ERRO e entregues no seu endereço. EXTRA Isso não é EXTRA consistente com sua alegação de que não sabia o que estava acontecendo."""
"""Talvez o Luís tenha usado meus dados sem me avisar. Eu não sabia de nada.""","ERRO o Luís tenha usado meus sem me avisar. Eu EXTRA não sabia de nada."""
"""Clara, as evidências contra a senhora são claras: os registros de compras, as mensagens no seu celular e a entrega dos produtos em sua casa. Este é o momento de ser honesta. Há algo mais que queira nos contar?""","""Clara, as contra a senhora são claras: ERRO registros de ERRO as mensagens no seu ERRO e a entrega dos produtos EXTRA em sua casa. Este é o momento de ser EXTRA honesta. Há algo que queira nos contar?"""
"""Eu realmente não sabia que os cartões eram clonados. Só aceitei os produtos porque achei que eram presentes.""","""Eu realmente não sabia que os cartões eram clonados. ERRO aceitei os produtos EXTRA porque achei eram presentes."""
"""Entendo sua posição. No entanto, a senhora precisa reconhecer que aceitar esses produtos sem questionar a origem também a torna responsável. Concorda?""","""Entendo sua posição. No ERRO a senhora precisa reconhecer que aceitar ERRO produtos questionar a origem também a torna responsável."
"""Sim, reconheço que devia ter sido mais cuidadosa.""","""Sim, reconheço que EXTRA devia ter sido mais cuidadosa."""
"""Clara, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira acrescentar, agora é o momento.""","""Clara, agradeço ERRO sua Esta gravação será analisada junto ERRO as outras evidências. Se houver algo mais que queira acrescentar, agora é o momento."""
"""Não, já disse tudo. Só quero resolver isso.""","""Não, disse tudo. Só quero resolver isso."""
"""Entendido. A senhora será informada sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. A senhora será informada sobre os EXTRA próximos passos do Obrigado pelo EXTRA seu tempo."""
"""Boa tarde, Luís Pereira. Esta entrevista está sendo gravada como parte da investigação sobre desmatamento ilegal em uma área de preservação ambiental em Viana do Castelo. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","ERRO tarde, Luís Pereira. EXTRA entrevista está sendo gravada como parte da investigação sobre ilegal em uma área de preservação ambiental em Viana do Castelo. O senhor entende seus direitos, EXTRA incluindo o de permanecer em silêncio solicitar a ERRO de um"
"""Sim, entendi.""","""Sim, entendi."""
"""Ótimo. Estamos aqui para esclarecer sua presença no local e os equipamentos encontrados. O que o senhor tem a dizer sobre isso?""","""Ótimo. Estamos para esclarecer sua presença no ERRO e ERRO equipamentos encontrados. O ERRO o senhor tem a dizer sobre isso?"""
"""Eu só estava transportando madeira para outra pessoa. Não sabia que era ilegal.""","""Eu só EXTRA estava transportando madeira para outra pessoa. Não sabia que EXTRA era ilegal."""
"""Luís, pode nos contar como foi contratado para transportar essa madeira e quem era o responsável pela operação?""","""Luís, pode nos contar como foi contratado para EXTRA essa madeira e quem o responsável pela operação?"""
"""Recebi uma ligação de um homem que conheço de vista. Ele me pediu para pegar a madeira e entregar em um armazém. Não sabia que vinha de um local proibido.""","""Recebi uma ligação de um homem que conheço de vista. Ele me pediu para a EXTRA madeira e entregar em um armazém. sabia que vinha de um proibido."""
"""Entendido. E por que os equipamentos de corte encontrados no local estavam registrados em seu nome?""","""Entendido. EXTRA E ERRO que os equipamentos de corte encontrados no local estavam registrados EXTRA em seu nome?"""
"""Eu deixei os equipamentos lá porque uso em outros trabalhos, mas não fui eu quem cortou as árvores.""","""Eu deixei os equipamentos EXTRA porque uso em outros trabalhos, não fui eu quem cortou as árvores."""
"""Luís, temos testemunhos de moradores que relataram ter visto o senhor operando os equipamentos na área. Como explica isso?""","temos testemunhos de moradores que relataram ter EXTRA EXTRA visto o senhor operando os equipamentos na área. Como explica isso?"""
"""Isso é mentira. Eu estava apenas no caminhão. Alguém deve ter me confundido com outra pessoa.""","""Isso é mentira. Eu estava ERRO caminhão. Alguém deve ERRO me confundido com outra pessoa."""
"""Entendido. No entanto, as digitais nos equipamentos confirmam que o senhor os utilizou recentemente. Como justifica isso?""","""Entendido. EXTRA No entanto, as digitais nos confirmam que o senhor os utilizou recentemente. Como ERRO isso?"""
"""Eu usei os equipamentos em outro lugar, mas não nesse caso. Deve ser coincidência.""","EXTRA usei os equipamentos EXTRA em outro lugar, mas não nesse caso. Deve ser coincidência."""
"""Luís, se o senhor apenas transportou a madeira, como explica as digitais nos troncos recém-cortados, que coincidem com as marcas de corte feitas pelos seus equipamentos?""","""Luís, se o senhor apenas a madeira, como EXTRA EXTRA explica as digitais nos troncos recém-cortados, que coincidem com ERRO marcas de ERRO feitas pelos seus equipamentos?"""
"""Talvez eu tenha mexido em algumas toras sem perceber, mas não fui eu quem as cortou.""","""Talvez eu tenha EXTRA mexido em algumas toras perceber, mas ERRO fui eu quem as cortou."""
"""Entendido. Mas também temos o registro de um caminhão em seu nome transportando madeira da área desmatada. Como explica isso?""","""Entendido. EXTRA Mas também temos o registro de um caminhão em ERRO nome transportando madeira da área desmatada. ERRO EXTRA explica isso?"""
"""Eu só aceitei fazer o transporte porque estava precisando de dinheiro. Não sabia que era ilegal.""","EXTRA ""Eu só aceitei fazer o transporte porque EXTRA estava precisando EXTRA de dinheiro. Não sabia que era ilegal."""
"""Luís, as evidências são claras: os equipamentos, as digitais e os testemunhos. Este é o momento de ser honesto. Há algo mais que queira nos contar?""","""Luís, as evidências são claras: os equipamentos, EXTRA as e os testemunhos. Este ERRO ERRO ERRO de ser honesto. Há algo mais que queira nos contar?"""
"""Eu estava no local, mas só ajudando a carregar a madeira. Não sabia que era proibido.""","""Eu estava EXTRA no local, mas só ajudando a carregar a madeira. Não sabia que EXTRA ERRO proibido."""
"""Entendo. Mas ao participar dessa atividade, o senhor contribuiu para o desmatamento de uma área protegida. Reconhece sua responsabilidade?""","""Entendo. Mas ao participar dessa ERRO EXTRA o senhor contribuiu o desmatamento de uma área protegida. Reconhece sua responsabilidade?"""
"""Sim, eu errei. Não devia ter me envolvido.""","""Sim, ERRO errei. Não devia ter me envolvido."""
"""Luís, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira acrescentar, agora é o momento.""","pela sua colaboração. Esta gravação será analisada junto as outras evidências. Se EXTRA houver algo mais que queira acrescentar, agora é o momento."""
"""Não, já disse tudo. Só quero resolver isso.""","já disse tudo. Só quero resolver isso."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. O senhor EXTRA EXTRA será informado sobre os ERRO passos do processo. Obrigado pelo seu tempo."""
"""Boa tarde, Tiago Lopes. Esta entrevista está sendo gravada como parte da investigação sobre o furto de equipamentos de informática ocorrido no laboratório de informática da Universidade de Aveiro. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","""Boa tarde, Lopes. Esta entrevista EXTRA está sendo gravada como parte da investigação sobre o de equipamentos EXTRA de informática ocorrido no laboratório informática da ERRO de Aveiro. O senhor entende seus direitos, incluindo EXTRA o de permanecer em silêncio e solicitar a presença EXTRA de um advogado?"""
"""Sim, entendi.""","""Sim, entendi."""
"""Ótimo. Estamos aqui para esclarecer sua presença na área do laboratório e os itens encontrados em sua posse. O que o senhor tem a dizer sobre isso?""","EXTRA ""Ótimo. Estamos aqui para ERRO sua presença na área ERRO e os itens encontrados em sua posse. O que o senhor tem a dizer sobre isso?"""
"""Eu não entrei no laboratório. Encontrei o computador perto do campus e resolvi levar para casa.""","EXTRA ""Eu não entrei no laboratório. Encontrei o ERRO perto do campus EXTRA e resolvi levar para casa."""
"""Tiago, pode nos contar o que estava fazendo nas proximidades da universidade na madrugada de 14 de dezembro?""","""Tiago, pode EXTRA nos EXTRA contar o que estava fazendo nas proximidades da universidade na madrugada de 14 de EXTRA dezembro?"""
"""Eu estava passando por lá porque costumo caminhar à noite. Achei o computador jogado perto de uma lixeira.""","""Eu estava passando por lá porque EXTRA costumo caminhar noite. o computador jogado perto de uma lixeira."""
"""Entendido. E por que não comunicou à segurança da universidade ou às autoridades que encontrou esse equipamento?""","ERRO E por que não comunicou à segurança universidade ou às autoridades ERRO encontrou esse equipamento?"""
"""Eu não pensei nisso na hora. Só peguei e levei para casa.""","""Eu não pensei nisso na hora. EXTRA Só peguei e levei EXTRA para casa."""
"""Tiago, as câmeras de segurança mostram você entrando no laboratório por volta das 2h e saindo com uma mochila cheia. Como explica isso?""","""Tiago, as câmeras de segurança mostram você entrando no por volta 2h e saindo com ERRO mochila cheia. Como explica isso?"""
"""Eu devo ter sido confundido com outra pessoa. Não entrei no laboratório.""","""Eu devo ter sido confundido com outra pessoa. ERRO entrei no laboratório."""
"""Entendido. Contudo, o computador encontrado em sua posse foi identificado como sendo do laboratório, e os números de série confirmam isso. Como justifica isso?""","""Entendido. Contudo, o computador encontrado em sua posse identificado como sendo do ERRO e os EXTRA números de série confirmam ERRO Como justifica isso?"""
"""Eu não sabia que era do laboratório. Achei que alguém tinha descartado.""","""Eu não sabia EXTRA que era do laboratório. Achei que alguém tinha"
"""Tiago, se acreditava que o equipamento havia sido descartado, por que o levou para casa em vez de procurar o dono?""","""Tiago, se acreditava que EXTRA equipamento havia ERRO descartado, por que o levou para casa em vez de EXTRA procurar o dono?"""
"""Eu pensei que não fosse importante e que ninguém sentiria falta.""","""Eu pensei que não fosse importante que ninguém ERRO falta."""
"""Entendido. Mas as imagens mostram que o senhor estava rondando o laboratório nos dias anteriores. Como explica sua presença lá?""","""Entendido. Mas as mostram EXTRA que o senhor estava rondando o laboratório nos dias Como sua presença lá?"""
"""Eu estava apenas esperando um amigo que estuda na universidade. Não tem nada a ver com o furto.""","""Eu estava apenas esperando um amigo que ERRO na universidade. Não tem nada a ERRO com EXTRA o furto."""
"""Tiago, as evidências contra o senhor são claras: as imagens de segurança, o equipamento encontrado e os depoimentos. Este é o momento de ser honesto. Há algo mais que queira nos contar?""","""Tiago, ERRO contra o senhor são claras: as imagens de segurança, equipamento ERRO e depoimentos. Este é o EXTRA momento de ser honesto. Há algo mais que queira nos contar?"""
"""Eu estava no local, sim, mas só para buscar o computador que um amigo disse que estava sobrando. Eu não sabia que era roubo.""","""Eu estava EXTRA local, sim, mas só buscar o computador que amigo disse que estava sobrando. Eu não sabia que era roubo."""
"""Entendo. Mas ao levar o equipamento, o senhor contribuiu para o desaparecimento de bens da universidade. Reconhece sua responsabilidade?""","""Entendo. Mas EXTRA ao levar o equipamento, o senhor contribuiu para o ERRO de bens da universidade. Reconhece EXTRA sua responsabilidade?"""
"""Sim, eu reconheço. Foi um erro. Não devia ter levado sem perguntar.""","EXTRA ""Sim, eu reconheço. Foi um erro. Não devia ter levado sem EXTRA perguntar."""
"""Tiago, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira acrescentar, agora é o momento.""","agradeço pela sua colaboração. Esta gravação será ERRO com as outras evidências. Se houver algo mais que queira agora é o momento."""
"""Não, já disse tudo. Quero resolver isso.""","""Não, já disse tudo. ERRO resolver isso."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. O senhor será informado os próximos passos Obrigado pelo seu tempo."""
"""Boa tarde, Miguel Costa. Esta entrevista está sendo gravada como parte da investigação sobre tráfico de drogas em Lisboa. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","""Boa tarde, Miguel Esta entrevista está sendo gravada como parte EXTRA da investigação sobre tráfico de drogas em Lisboa. O ERRO entende seus direitos, de permanecer em silêncio e solicitar ERRO presença EXTRA de um advogado?"""
"""Sim, entendi.""","""Sim, entendi."""
"""Ótimo. Estamos aqui para esclarecer as evidências que encontramos em sua residência, incluindo uma quantidade significativa de cocaína. O que tem a dizer sobre isso?""","EXTRA Estamos aqui para ERRO as evidências que encontramos em sua residência, incluindo uma quantidade significativa de cocaína. O que tem a dizer isso?"""
"""Eu não tenho nada a ver com isso. Alguém deve ter colocado essas drogas na minha casa. Não sei de onde vieram.""","""Eu não EXTRA nada a ver com ERRO Alguém EXTRA deve ter colocado essas drogas na minha casa. Não sei de onde vieram."""
"""Miguel, pode nos contar quem teria acesso à sua casa e por que alguém colocaria drogas lá?""","""Miguel, pode nos contar quem teria acesso à sua casa que alguém colocaria lá?"""
"""Eu tenho amigos, mas ninguém mais tem as chaves da minha casa, além de mim. Eu não sei como as drogas chegaram lá.""","""Eu tenho amigos, mas ERRO mais tem as da minha casa, além mim. Eu não sei como as EXTRA drogas chegaram lá."""
"""Entendido. E quanto às mensagens encontradas no seu celular, onde você estava negociando substâncias com outra pessoa? Pode nos explicar isso?""","""Entendido. E quanto às mensagens encontradas no celular, onde você estava negociando substâncias ERRO pessoa? Pode nos explicar isso?"""
"""Essas mensagens não são minhas. Alguém deve ter usado meu celular. Eu nem sabia que as mensagens estavam lá.""","""Essas mensagens EXTRA são minhas. Alguém deve ter usado meu celular. Eu nem sabia que as ERRO estavam lá."""
"""Miguel, as mensagens são claras, e os registros indicam uma negociação de substâncias ilícitas. Como o senhor explica isso?""","""Miguel, as mensagens são claras, e os registros indicam uma EXTRA negociação substâncias ilícitas. Como o EXTRA senhor explica isso?"""
"""Eu já falei, não sou eu. Não tenho nada a ver com isso. Pode ter sido alguém usando meu celular, mas não fui eu.""","""Eu já falei, sou ERRO Não tenho nada a ver com isso. Pode ter sido alguém usando meu celular, mas não fui eu."""
"""Entendido. Mas encontramos uma quantidade significativa de drogas em sua casa, e a evidência está registrada no seu nome. Como justifica isso?""","""Entendido. Mas EXTRA uma quantidade significativa de em sua casa, e a está registrada no seu nome. Como justifica isso?"""
"""Eu não sabia que estavam lá. Alguém deve ter plantado as drogas na minha casa.""","""Eu não sabia que estavam lá. Alguém deve EXTRA ter plantado ERRO na minha casa."""
"""Miguel, se você não tem nada a ver com isso, por que não denunciou alguém que colocou drogas em sua casa? Por que não tomou nenhuma ação?""","""Miguel, se você não ERRO nada a ver com isso, por que não denunciou alguém que colocou drogas em EXTRA sua casa? Por que não tomou nenhuma ação?"""
"""Eu não sabia o que fazer. Fiquei com medo de ser preso. Não sabia quem tinha feito isso.""","""Eu sabia o que fazer. Fiquei ERRO medo ERRO ser preso. Não sabia quem tinha feito isso."""
"""Mas a quantidade de drogas não é algo pequeno. Isso não parece um grande risco? Como explica isso?""","""Mas a quantidade de drogas não é algo pequeno. EXTRA ERRO não parece um grande risco? explica isso?"""
"""Eu realmente não sei o que aconteceu. Eu nunca me envolvi com tráfico.""","""Eu realmente não sei o aconteceu. Eu nunca me envolvi com"
"""Miguel, temos provas substanciais: as mensagens, as drogas encontradas e seu histórico de comunicação com pessoas ligadas ao tráfico. Este é o momento de ser honesto. Há algo mais que queira nos contar?""","""Miguel, temos provas ERRO as mensagens, as drogas encontradas histórico de comunicação com EXTRA pessoas EXTRA ligadas ao tráfico. Este é o momento de ser honesto. Há algo mais que queira nos ERRO"
"""Eu já disse tudo o que sei. Não sou traficante, nem sabia o que estava acontecendo.""","""Eu já disse EXTRA tudo o que sei. Não sou EXTRA traficante, nem sabia o que estava EXTRA acontecendo."""
"""Entendo. Mas as provas indicam que o senhor tem envolvimento. Será que está ocultando algo?""","""Entendo. EXTRA as ERRO indicam que o senhor tem envolvimento. Será que está ocultando algo?"""
"""Eu não estou ocultando nada. Eu não sei como as drogas foram parar na minha casa. Só quero que isso acabe.""","""Eu não estou ocultando nada. Eu não ERRO como as drogas ERRO parar na minha EXTRA casa. Só que isso acabe."""
"""Miguel, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira acrescentar, agora é o momento.""","""Miguel, agradeço pela sua EXTRA colaboração. Esta gravação será analisada junto com ERRO outras evidências. Se algo mais que queira acrescentar, agora é o EXTRA momento."""
"""Não, já disse tudo. Só quero resolver isso o mais rápido possível.""","""Não, já disse tudo. Só EXTRA quero resolver isso o EXTRA mais rápido possível."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. O senhor será informado EXTRA sobre os próximos EXTRA passos EXTRA do processo. Obrigado pelo seu tempo."""
"""Boa tarde, João Alves. Esta entrevista está sendo gravada como parte da investigação sobre a venda de produtos falsificados em sua loja. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","""Boa tarde, João Alves. Esta entrevista está sendo gravada como parte da investigação a venda de produtos falsificados em sua loja. O senhor entende seus direitos, ERRO ERRO permanecer em silêncio e solicitar a presença de ERRO EXTRA advogado?"""
"""Sim, entendi.""","""Sim, entendi."""
